Joe Jackson,76,275,9.99,22
Mike Jackson,73,210,4.45,13
Tyree Jackson,79,249,4.59,
Josh Jacobs,70,220,9.99,
CeCe Jefferson,73,266,5.02,17
Jalen Jelks,77,256,4.92,19
Elgton Jenkins,76,310,9.99,29
Gary Jennings,73,214,4.42,20
Anthony Johnson,74,209,9.99,18
Darryl Johnson,78,253,9.99,20
Diontae Johnson,70,183,4.53,15
Fred Johnson,79,326,9.99,
Gary Johnson,72,226,4.43,16
Isaiah Johnson,74,208,4.4,
Jaquan Johnson,70,191,4.69,18
KeeSean Johnson,73,201,4.6,14
Lonnie Johnson,74,213,4.52,15
Daniel Jones,77,221,4.81,
Dre'Mont Jones,75,281,5.12,
Jordan Jones,74,234,4.62,23
Kendall Joseph,72,233,9.99,25
Vosean Joseph,73,230,9.99,
Kingsley Keke,75,288,4.95,
Dawson Knox,76,254,9.99,16
Tre Lamar,75,253,9.99,
Dexter Lawrence,76,342,5.05,36
Justin Layne,74,192,4.5,
Jonathan Ledbetter,76,280,5.14,22
Iman Lewis-Marshall,73,207,4.53,16
Chris Lindstrom,76,308,4.91,25
Drew Lock,76,228,4.69,
David Long,71,196,4.45,15
David Long,71,227,4.45,15
Jonathan Love,69,200,9.99,18
Julian Love,71,195,4.54,14
Alize Mack,76,249,4.7,22
Daylon Mack,73,336,5.1,30
Alexander Mattison,71,221,4.67,22
Erik McCoy,76,303,4.89,29
Connor McGovern,77,308,9.99,28
Mark McLaurin,73,212,4.77,12
Trace McSorley,72,202,4.57,
Christian Miller,75,247,9.99,
Jordan Miller,73,186,4.49,6
Shareef Miller,76,254,4.69,16
Gardner Minshew,73,225,4.97,
David Montgomery,70,222,4.63,15
Jalin Moore,70,212,9.99,27
Foster Moreau,76,253,4.66,22
Trayvon Mullen,73,199,4.46,
Byron Murphy,71,190,4.55,14
Kyler Murray,70,207,9.99,
Isaac Nauta,75,244,4.91,19
Anthony Nelson,79,271,4.82,18
Bobby Okereke,73,239,4.58,
Ed Oliver,74,287,9.99,32
Josh Oliver,77,249,4.63,22
Qadree Ollison,73,228,4.58,19
Charles Omenihu,77,280,4.92,
Iosua Opeta,76,301,5.02,39
Amani Oruwariye,74,205,4.47,17
Javon Patterson,75,307,5.13,27
Jamal Peters,74,218,4.63,
Jachai Polite,75,258,4.84,
Tony Pollard,72,210,4.52,13
Ben Powers,76,307,9.99,21
Germaine Pratt,74,240,4.57,24
Ryan Pulley,71,209,4.61,11
Taylor Rapp,72,208,9.99,17
Wyatt Ray,75,257,4.83,25
Dax Raymond,77,255,4.73,15
Sheldrick Redwine,72,196,4.44,
Dontavius Russell,75,319,5.15,24
Brett Rypien,74,210,4.91,
Drew Sample,77,255,4.71,
Miles Sanders,71,211,4.49,20
Khalen Saunders,72,324,5.01,27
Darnell Savage,71,198,4.36,11
Jordan Scarlett,71,208,4.47,21
LJ Scott,72,227,9.99,21
Austin Seibert,69,213,9.99,
Kendall Sheffield,71,193,9.99,
Kyle Shurmur,76,230,4.91,
Devin Singletary,67,203,4.66,15
Chris Slayton,76,307,5.13,28
Cameron Smith,74,238,4.69,15
Irv Smith,74,242,4.63,19
Kaden Smith,77,255,4.92,15
Sutton Smith,72,233,4.69,25
Benny Snell,70,224,4.66,16
Jace Sternberger,76,251,4.75,17
Easton Stick,73,224,4.62,
Jarrett Stidham,74,218,4.81,
Montez Sweat,78,260,4.41,21
Thomas Sweeney,76,251,4.83,17
Jordan Ta'amu-Perifanos,75,221,4.77,
Trevon Tate,74,293,9.99,22
Marvell Tell,74,198,9.99,
Deionte Thompson,73,195,9.99,
Juan Thornhill,72,205,4.42,21
Clayton Thorson,76,222,9.99,
Jerry Tillery,78,295,4.93,23
Cole Tracy,70,184,9.99,
D'Andre Walker,74,251,9.99,
Kahale Warring,77,252,4.67,19
Armon Watts,77,300,5.23,
Mike Weber,70,211,4.47,22
Trevon Wesco,75,267,4.89,24
Darius West,71,208,4.39,19
Dexter Williams,71,212,4.57,17
James Williams,69,197,4.58,
Trayveon Williams,68,206,4.51,19
Khari Willis,71,213,4.52,22
Caleb Wilson,76,240,4.56,
Donovan Wilson,72,199,9.99,18
Andrew Wingard,72,209,4.56,9
Chase Winovich,75,256,4.59,18
Mitch Wishnowsky,74,218,4.63,
Zedrick Woods,71,205,4.29,19
Evan Worthington,74,212,4.63,17
Oshane Ximines,75,253,4.78,24
